customer_id,customer_name,segment
cg-12520,claire_gute,consumer
dv-13045,darrin_van_huff,corporate
so-20335,sean_o'donnell,consumer
bh-11710,brosina_hoffman,consumer
aa-10480,andrew_allen,consumer
im-15070,irene_maddox,consumer
hp-14815,harold_pawlan,home_office
pk-19075,pete_kriz,consumer
ag-10270,alejandro_grove,consumer
zd-21925,zuschuss_donatelli,consumer
kb-16585,ken_black,corporate
sf-20065,sandra_flanagan,consumer
eb-13870,emily_burns,consumer
eh-13945,eric_hoffmann,consumer
tb-21520,tracy_blumstein,consumer
ma-17560,matt_abelman,home_office
gh-14485,gene_hale,corporate
sn-20710,steve_nguyen,home_office
lc-16930,linda_cazamias,corporate
ra-19885,ruben_ausman,corporate
es-14080,erin_smith,corporate
on-18715,odella_nelson,corporate
po-18865,patrick_o'donnell,consumer
lh-16900,lena_hernandez,consumer
dp-13000,darren_powers,consumer
jm-15265,janet_molinari,corporate
tb-21055,ted_butterfield,consumer
km-16720,kunst_miller,consumer
ps-18970,paul_stevenson,home_office
bs-11590,brendan_sweed,corporate
kd-16270,karen_daniels,consumer
hm-14980,henry_macallister,consumer
je-15745,joel_eaton,consumer
kb-16600,ken_brennan,corporate
sc-20770,stewart_carmichael,corporate
dn-13690,duane_noonan,consumer
jc-16105,julie_creighton,corporate
cs-12400,christopher_schild,home_office
pg-18895,paul_gonzalez,consumer
gm-14455,gary_mitchum,home_office
js-15685,jim_sink,corporate
kb-16315,karl_braun,consumer
rb-19705,roger_barcio,home_office
pn-18775,parhena_norris,home_office
kd-16345,katherine_ducich,consumer
er-13855,elpida_rittenbach,corporate
rb-19465,rick_bensley,home_office
gz-14470,gary_zandusky,consumer
lc-16870,lena_cacioppo,consumer
jm-15250,janet_martin,consumer
pa-19060,pete_armstrong,home_office
cv-12805,cynthia_voltz,corporate
cl-12565,clay_ludtke,consumer
rc-19960,ryan_crowe,consumer
dk-13090,dave_kipp,consumer
gg-14650,greg_guthrie,corporate
sc-20725,steven_cartwright,consumer
ad-10180,alan_dominguez,home_office
pf-19165,philip_fox,consumer
ts-21610,troy_staebel,consumer
ls-16975,lindsay_shagiari,home_office
dw-13585,dorothy_wardle,corporate
lc-16885,lena_creighton,consumer
jd-15895,jonathan_doherty,corporate
sh-19975,sally_hughsby,corporate
sg-20080,sandra_glassco,consumer
ha-14920,helen_andreada,consumer
mg-17680,maureen_gastineau,home_office
je-16165,justin_ellison,corporate
tw-21025,tamara_willingham,home_office
sp-20650,stephanie_phelps,corporate
nk-18490,neil_knudson,home_office
db-13060,dave_brooks,consumer
np-18670,nora_paige,consumer
tt-21070,ted_trevino,consumer
em-13960,eric_murdock,consumer
rd-19900,ruben_dartt,consumer
mj-17740,max_jones,consumer
bm-11140,becky_martin,consumer
cs-12130,chad_sievert,consumer
jb-15400,jennifer_braxton,corporate
